over,win_probability,over_info,forecast
1.0,RR 57.02%,RCB 2/0,Live Forecast: RCB 173
2.0,RR 51.67%,RCB 14/0,Live Forecast: RCB 178
3.0,RR 60.14%,RCB 17/0,Live Forecast: RCB 170
4.0,RCB 59.15%,RCB 34/0,Live Forecast: RCB 188
5.0,RCB 54.85%,RCB 37/1,Live Forecast: RCB 184
6.0,RCB 67.36%,RCB 50/1,Live Forecast: RCB 196
7.0,RCB 54.85%,RCB 56/1,Live Forecast: RCB 184
8.0,RR 57.02%,RCB 58/2,Live Forecast: RCB 173
9.0,RR 65.11%,RCB 63/2,Live Forecast: RCB 165
10.0,RR 50.59%,RCB 76/2,Live Forecast: RCB 179
11.0,RCB 51.59%,RCB 82/2,Live Forecast: RCB 181
12.0,RCB 63.34%,RCB 95/2,Live Forecast: RCB 192
13.0,RR 60.14%,RCB 97/4,Live Forecast: RCB 170
14.0,RCB 55.93%,RCB 116/4,Live Forecast: RCB 185
15.0,RR 51.67%,RCB 125/5,Live Forecast: RCB 178
16.0,RR 54.9%,RCB 134/5,Live Forecast: RCB 175
17.0,RR 53.83%,RCB 144/5,Live Forecast: RCB 176
18.0,RR 53.83%,RCB 154/5,Live Forecast: RCB 176
19.0,RR 60.14%,RCB 159/7,Live Forecast: RCB 170
20.0,RR 58.07%,RCB 172/8,Live Forecast: RCB 172
1.0,RR 52.8%,RR 2/0,RR needed 171 runs from 114 balls
2.0,RCB 51.2%,RR 6/0,RR needed 167 runs from 108 balls
3.0,RR 61.43%,RR 22/0,RR needed 151 runs from 102 balls
4.0,RR 73.31%,RR 35/0,RR needed 138 runs from 96 balls
5.0,RR 78.83%,RR 45/0,RR needed 128 runs from 90 balls
6.0,RR 68.32%,RR 47/1,RR needed 126 runs from 84 balls
7.0,RR 77.24%,RR 64/1,RR needed 109 runs from 78 balls
8.0,RR 85.64%,RR 74/1,RR needed 99 runs from 72 balls
9.0,RR 87.12%,RR 80/1,RR needed 93 runs from 66 balls
10.0,RR 75.6%,RR 85/2,RR needed 88 runs from 60 balls
11.0,RR 78.59%,RR 98/3,RR needed 75 runs from 54 balls
12.0,RR 66.9%,RR 100/3,RR needed 73 runs from 48 balls
13.0,RR 79.62%,RR 111/3,RR needed 62 runs from 42 balls
14.0,RR 58.18%,RR 115/4,RR needed 58 runs from 36 balls
15.0,RR 75.16%,RR 126/4,RR needed 47 runs from 30 balls
16.0,RR 94.65%,RR 143/4,RR needed 30 runs from 24 balls
17.0,RR 97.43%,RR 154/4,RR needed 19 runs from 18 balls
18.0,RR 94.06%,RR 160/6,RR needed 13 runs from 12 balls
19.0,RR 100%,RR 174/6,RR won by 4 wickets (with 6 balls remaining)
