over,win_probability,over_info,forecast
1.0,PBKS 53.96%,CSK 4/0,Live Forecast: CSK 172
2.0,PBKS 51.76%,CSK 14/0,Live Forecast: CSK 174
3.0,PBKS 56.13%,CSK 20/0,Live Forecast: CSK 170
4.0,PBKS 55.05%,CSK 23/0,Live Forecast: CSK 171
5.0,CSK 55.95%,CSK 37/0,Live Forecast: CSK 181
6.0,CSK 76.39%,CSK 55/0,Live Forecast: CSK 202
7.0,CSK 79.45%,CSK 60/0,Live Forecast: CSK 206
8.0,CSK 80.16%,CSK 64/0,Live Forecast: CSK 207
9.0,PBKS 55.05%,CSK 67/2,Live Forecast: CSK 171
10.0,PBKS 58.28%,CSK 71/3,Live Forecast: CSK 168
11.0,PBKS 61.43%,CSK 76/3,Live Forecast: CSK 165
12.0,PBKS 63.47%,CSK 81/3,Live Forecast: CSK 163
13.0,PBKS 68.34%,CSK 85/3,Live Forecast: CSK 158
14.0,PBKS 71.08%,CSK 90/3,Live Forecast: CSK 155
15.0,PBKS 69.27%,CSK 102/3,Live Forecast: CSK 157
16.0,PBKS 68.34%,CSK 111/4,Live Forecast: CSK 158
17.0,PBKS 58.28%,CSK 131/4,Live Forecast: CSK 168
18.0,PBKS 55.05%,CSK 146/5,Live Forecast: CSK 171
19.0,PBKS 65.46%,CSK 149/6,Live Forecast: CSK 161
20.0,PBKS 64.48%,CSK 162/7,Live Forecast: CSK 162
1.0,PBKS 71.14%,PBKS 12/0,PBKS needed 151 runs from 114 balls
2.0,PBKS 69.51%,PBKS 16/0,PBKS needed 147 runs from 108 balls
3.0,PBKS 65.06%,PBKS 19/0,PBKS needed 144 runs from 102 balls
4.0,PBKS 60.66%,PBKS 29/1,PBKS needed 134 runs from 96 balls
5.0,PBKS 65.7%,PBKS 39/1,PBKS needed 124 runs from 90 balls
6.0,PBKS 83.07%,PBKS 52/1,PBKS needed 111 runs from 84 balls
7.0,PBKS 88%,PBKS 62/1,PBKS needed 101 runs from 78 balls
8.0,PBKS 92.03%,PBKS 73/1,PBKS needed 90 runs from 72 balls
9.0,PBKS 93.67%,PBKS 82/1,PBKS needed 81 runs from 66 balls
10.0,PBKS 94.73%,PBKS 96/2,PBKS needed 67 runs from 60 balls
11.0,PBKS 94.28%,PBKS 99/2,PBKS needed 64 runs from 54 balls
12.0,PBKS 95.51%,PBKS 113/3,PBKS needed 50 runs from 48 balls
13.0,PBKS 97.22%,PBKS 122/3,PBKS needed 41 runs from 42 balls
14.0,PBKS 98.87%,PBKS 135/3,PBKS needed 28 runs from 36 balls
15.0,PBKS 98.01%,PBKS 135/3,PBKS needed 28 runs from 30 balls
16.0,PBKS 99.44%,PBKS 146/3,PBKS needed 17 runs from 24 balls
17.0,PBKS 99.74%,PBKS 155/3,PBKS needed 8 runs from 18 balls
18.0,PBKS 100%,PBKS 163/3,PBKS won by 7 wickets (with 13 balls remaining)
