over,win_probability,over_info,forecast
1.0,CSK 52.48%,Over 1 • GT 14/0,Live Forecast: GT 175
2.0,CSK 54.66%,Over 2 • GT 21/0,Live Forecast: GT 173
3.0,GT 50.81%,Over 3 • GT 32/0,Live Forecast: GT 178
4.0,GT 57.38%,Over 4 • GT 43/0,Live Forecast: GT 184
5.0,CSK 52.48%,Over 5 • GT 46/0,Live Forecast: GT 175
6.0,GT 56.3%,Over 6 • GT 58/0,Live Forecast: GT 183
7.0,GT 61.66%,Over 7 • GT 72/0,Live Forecast: GT 188
8.0,GT 76.68%,Over 8 • GT 79/0,Live Forecast: GT 204
9.0,GT 86.02%,Over 9 • GT 94/0,Live Forecast: GT 218
10.0,GT 86.55%,Over 10 • GT 107/0,Live Forecast: GT 219
11.0,GT 96.21%,Over 11 • GT 130/0,Live Forecast: GT 250
12.0,GT 96.66%,Over 12 • GT 143/0,Live Forecast: GT 253
13.0,GT 96.93%,Over 13 • GT 160/0,Live Forecast: GT 255
14.0,GT 97.52%,Over 14 • GT 179/0,Live Forecast: GT 260
15.0,GT 96.51%,Over 15 • GT 190/0,Live Forecast: GT 252
16.0,GT 95.32%,Over 16 • GT 196/0,Live Forecast: GT 245
17.0,GT 95.32%,Over 17 • GT 209/0,Live Forecast: GT 245
18.0,GT 92.61%,Over 18 • GT 213/2,Live Forecast: GT 234
19.0,GT 90.95%,Over 19 • GT 219/2,Live Forecast: GT 229
20.0,GT 91.65%,Over 20 • GT 231/3,Live Forecast: GT 231
1.0,GT 93.68%,Over 1 • CSK 2/1,CSK needed 230 runs from 114 balls
2.0,GT 98.01%,Over 2 • CSK 3/2,CSK needed 229 runs from 108 balls
3.0,GT 98.78%,Over 3 • CSK 10/3,CSK needed 222 runs from 102 balls
4.0,GT 98.38%,Over 4 • CSK 22/3,CSK needed 210 runs from 96 balls
5.0,GT 98.13%,Over 5 • CSK 33/3,CSK needed 199 runs from 90 balls
6.0,GT 98.08%,Over 6 • CSK 43/3,CSK needed 189 runs from 84 balls
7.0,GT 96.74%,Over 7 • CSK 58/3,CSK needed 174 runs from 78 balls
8.0,GT 94.59%,Over 8 • CSK 72/3,CSK needed 160 runs from 72 balls
9.0,GT 96.13%,Over 9 • CSK 77/3,CSK needed 155 runs from 66 balls
10.0,GT 98%,Over 10 • CSK 86/3,CSK needed 146 runs from 60 balls
11.0,GT 94.28%,Over 11 • CSK 106/3,CSK needed 126 runs from 54 balls
12.0,GT 90.33%,Over 12 • CSK 119/3,CSK needed 113 runs from 48 balls
13.0,GT 97.73%,Over 13 • CSK 125/4,CSK needed 107 runs from 42 balls
14.0,GT 98.81%,Over 14 • CSK 134/4,CSK needed 98 runs from 36 balls
15.0,GT 99.45%,Over 15 • CSK 143/5,CSK needed 89 runs from 30 balls
16.0,GT 98.7%,Over 16 • CSK 162/5,CSK needed 70 runs from 24 balls
17.0,GT 99.73%,Over 17 • CSK 168/6,CSK needed 64 runs from 18 balls
18.0,GT 99.99%,Over 18 • CSK 170/8,CSK needed 62 runs from 12 balls
19.0,GT 99.99%,Over 19 • CSK 180/8,CSK needed 52 runs from 6 balls
20.0,GT 100%,Over 20 • CSK 196/8,GT won by 35 runs
